ID,Titulo,Tipo,Prioridade,Tamanho,Epico,Area,Risco,Contexto,CriterioAceite,Arquivos,DependeDe,BomParaIniciante
BANCO-030,Decidir a estratégia de reconciliação do ledger de migrations,decisao,P1,M,Reconciliação banco x repositório,BANCO,"alto — é o item de maior raio de explosão do projeto. Um `supabase db push` hoje aborta no meio, depois de 25 arquivos já terem desmontado boa parte do RLS, e sem chegar nas migrations que o reconstroem.","O ledger tem 121 linhas e o disco tem 134 versões distintas: 93 casadas, 41 versões locais sem ledger e 28 versões no ledger sem arquivo. E a lista de pendentes NÃO é fila de deploy: 24 pares função/arquivo pendente têm corpo idêntico ao que já está vivo no banco, o que prova que boa parte já foi aplicada sob outro timestamp. O banco está à frente e o front está codificado contra ele, não contra os arquivos. Recriar o banco a partir das migrations do repo produziria um schema que o app atual não consegue usar. Ninguém toca nisso sem o Gabriel escolher a estratégia.","Está escrita a estratégia escolhida: squash a partir do estado vivo, reparo do ledger versão a versão, ou congelamento com dump versionado. · Está escrito o que acontece com as 41 versões locais sem ledger — quais são arquivadas, quais são aplicadas e quais são reescritas. · O arquivo bloqueador (20260708150000) tem destino definido: corrigido com DROP antes do CREATE, ou arquivado. · As quatro regressões nomeadas (is_admin, upsert_store_config x2, URL do OTP) têm destino definido individualmente. · Existe uma forma verificável de saber, a partir do repositório, qual é o estado real do banco — hoje não existe. · A regra de nunca rodar `supabase db push` continua valendo até a estratégia estar executada.",supabase/migrations/20260708150000_database_deep_cleanup_and_optimization.sql · supabase/migrations/20260703080000_optimize_remaining_rls.sql · supabase/migrations/20260712230000_add_local_shipping_config.sql · supabase/migrations/20260708190000_secure_otp_flow.sql · scripts/db-apply.cjs,nada,"não — exige histórico do projeto (por que o banco foi alterado fora das migrations) que só o Gabriel tem, e a decisão errada quebra produção sem caminho de volta."
BANCO-040,Qual política de backup e PITR está ativa no plano Supabase?,decisao,P1,P,Decisões pendentes,BANCO,baixo — abrir o painel e escrever a resposta. O risco de não responder é perder a loja inteira sem ponto de restauração.,"Ninguém sabe se existe backup, com que frequência, quanto tempo de retenção e se há recuperação a ponto no tempo. Isso é o gate de qualquer trabalho de migration: o ledger já está fora de sincronia e existe uma sequência de migrations pendentes que desmontaria boa parte das policies de RLS se fosse aplicada. Sem ponto de restauração, nenhuma dessas mexidas pode ser tentada.","Está documentado: existe backup automático, com que frequência, qual a retenção e se há PITR · Está documentado quanto tempo leva restaurar e quem tem permissão para fazer isso · Foi feito ao menos um dump manual antes de qualquer trabalho de migration, e o local dele está registrado · Se não houver backup adequado, há uma task para contratar ou configurar, e ela bloqueia o trabalho de migrations",docs/onboarding/03-SETUP-AMBIENTE.md · supabase/migrations/,nada,não — exige acesso de owner ao projeto Supabase
BANCO-050,O que fazer com as 42 migrations pendentes e as 28 versões do ledger sem arquivo?,decisao,P1,P,Decisões pendentes,BANCO,"alto — a decisão errada aqui derruba a loja. Foi medido que aplicar a fila abortaria no meio, depois de 25 arquivos com saldo de -63 policies já executados, deixando o banco com boa parte do RLS desmontado e sem o passo que reconstrói.","O ledger de migrations é um registro errado da realidade: o banco está à frente e o repositório está atrasado. Boa parte das 'pendentes' já está aplicada sob outro timestamp, e algumas das restantes reintroduziriam bugs já corrigidos. Enquanto não houver uma decisão de rumo, ninguém consegue escrever migration nova com segurança — e isso trava metade do backlog de banco.","Gabriel escolhe e registra o rumo: (a) baseline novo a partir do schema vivo, (b) reconciliação arquivo a arquivo, ou (c) congelar e só escrever migrations novas daqui pra frente · Está escrito qual é o procedimento aprovado para aplicar migration (já que supabase db push está proibido) · Está escrito o que acontece com os 42 arquivos pendentes: arquivados, reconciliados ou apagados · A decisão tem backup confirmado como pré-requisito",supabase/migrations/ · docs/onboarding/03-SETUP-AMBIENTE.md,[BANCO-040],não — é a decisão de maior risco do projeto
CARRINHO-010,Preservar variantNames na reidratação do localStorage e na sincronia entre dispositivos,bug,P1,M,Integridade do carrinho,CARRINHO,"médio — recriar sync_cart_atomic é uma migration numa RPC do caminho quente do carrinho; o lado do Zod é uma linha. Se a RPC sair errada o carrinho sincronizado esvazia.","A variação escolhida ('Cor: Azul, Tamanho: M') não sobrevive nem à recarga da página nem à troca de aparelho, por dois motivos independentes. O schema Zod que valida o carrinho no localStorage não declara variantNames, e o Zod v4 remove chave não declarada. E a RPC sync_cart_atomic faz DELETE + INSERT sem a coluna variant_names — que existe na tabela e fica sempre NULL. O CheckoutView monta a observação do pedido exatamente com esse campo, então o pedido chega ao lojista sem indicação da variação e o item errado é separado.","cartItemSchema declara variantNames como string opcional. · Adicionar produto com variação, recarregar a página (F5) e abrir o carrinho: o texto da variação continua visível. · Nova migration recria sync_cart_atomic incluindo MAX(item->>'variant_names') no INSERT agregado. · Montar carrinho com variação no celular e abrir no desktop logado com a mesma conta: a variação aparece. · A observação do pedido gerada no CheckoutView cita a variação nos dois cenários acima.",src/contexts/CartContext.tsx · supabase/migrations/ (arquivo novo) · supabase/migrations/20260606000000_fix_sync_cart_atomic_updated_at.sql · src/views/customer/CheckoutView.tsx,nada,"não — fora das 7 tarefas de entrada escolhidas; ver ""Por onde o Netim começa"" no topo"
CARRINHO-020,Reidratar o snapshot de produto guardado no carrinho antes do checkout,bug,P1,G,Integridade do carrinho,CARRINHO,alto — o merge do carrinho tem Last-Write-Wins com tombstones de 7 dias e uma assinatura que zera a cotação de frete a cada mudança. Mexer no merge sem entender os tombstones ressuscita item que o cliente apagou.,"O item do carrinho guarda o objeto Product inteiro (preço, estoque, freeShipping) no instante em que foi adicionado, e persiste isso no localStorage. Nada reidrata esse snapshot: convidado nem tenta, e no usuário logado o merge descarta o item remoto sempre que o timestamp local for maior ou igual. Se o admin reajusta o preço, o cliente vê o valor velho e a RPC v23 recusa o pedido pela divergência de total. A mensagem hoje é amigável ('Atualize o carrinho e tente novamente') mas não existe caminho de atualização: o cliente precisa adivinhar que tem de remover e re-adicionar o item.","Existe uma função de revalidação que, ao abrir o carrinho, cruza os itens com os produtos atuais do StoreContext/DataVault e atualiza preço, estoque e freeShipping. · Alterar o preço de um produto no admin e abrir o carrinho do cliente (sem limpar nada) mostra o preço novo e o novo total. · Item cujo produto ficou sem estoque ou inativo é sinalizado na UI com ação explícita de remover. · O convidado também passa pela revalidação, não só o usuário logado. · Os tombstones continuam funcionando: item removido pelo cliente não volta após a revalidação. · O checkout deixa de recusar por divergência num carrinho que acabou de ser aberto.",src/contexts/CartContext.tsx · src/views/customer/CartView.tsx · src/contexts/StoreContext.tsx · src/views/customer/CheckoutView.tsx,nada,"não — o merge do carrinho é a área com mais invariantes implícitas do projeto (LWW, tombstones de 7 dias, assinatura do carrinho que zera o frete) e nenhuma está coberta por teste."
CATALOGO-010,Parar de esvaziar o catálogo quando a consulta pública de produtos falha,bug,P1,M,Confiabilidade do catálogo,CATALOGO,"médio — é o único caminho de carga do catálogo, com dois ramos (admin e público) e fallback entre eles. Regressão aqui é a loja em branco.","No fallback para vw_produtos_public, o erro só é lançado quando a consulta admin também falhou. Para cliente comum a variável error é sempre null, então qualquer falha de rede ou de PostgREST passa batido, data fica null e o código cai no else que troca a lista de produtos por array vazio. O PWA offline perde o catálogo que já tinha no IndexedDB e mostra 'Nenhum produto agora' — o oposto do que o offline-first promete, e zero venda enquanto durar.","Falha na consulta pública propaga o erro independentemente do ramo admin. · Falha de rede NUNCA substitui a lista de produtos por array vazio: o que já estava carregado permanece. · Com o catálogo em cache no IndexedDB e a rede desligada, a Home continua mostrando os produtos. · Falha real de carga mostra algum sinal na UI em vez de 'Nenhum produto agora'. · Primeira carga sem cache e sem rede continua mostrando estado vazio explícito, não a Home quebrada.",src/contexts/StoreContext.tsx · src/lib/dataVault.ts · src/views/customer/HomeView.tsx,nada,"não — fora das 7 tarefas de entrada escolhidas; ver ""Por onde o Netim começa"" no topo"
CATALOGO-020,Por que o catálogo está travado em 200 produtos?,decisao,P1,P,Decisões pendentes,CATALOGO,"baixo — é uma resposta escrita. Mexer no número sem a resposta é que é arriscado: o limite alimenta home, busca, carrosséis, favoritos e a rota de detalhe.","As duas consultas de catálogo usam .limit(200) e esse array é a única fonte de tudo que o cliente vê. A partir do produto 201 os mais antigos somem sem aviso, favoritos fora do recorte desaparecem e link de produto vira tela em branco. Não há comentário, migration nem plano explicando o número. Hoje a loja tem 18 produtos ativos, então nada quebra — mas nenhuma das tasks de catálogo, busca e favoritos pode ser dimensionada sem saber se 200 é teto proposital ou acidente.","Gabriel responde: 200 é limite intencional de performance, chute antigo, ou restrição de plano · Se for intencional, o motivo e o plano para quando o catálogo crescer estão escritos na documentação · Se não for intencional, está definido o caminho substituto (paginação, busca no servidor, ou ambos) e ele vira task · A resposta desbloqueia explicitamente os achados #18, #67 e #71",src/contexts/StoreContext.tsx · docs/onboarding/02-ARQUITETURA.md,nada,não — é resposta do dono do produto
CHECKOUT-020,Bloquear checkout com carrinho vazio no front e no RPC,bug,P1,M,Confiabilidade do checkout,CHECKOUT,"médio — a guarda no RPC exige nova migration na função mais crítica do sistema; a guarda no front é trivial.","A rota de checkout é deep link válido, então dar F5 depois de comprar remonta a tela com carrinho vazio e o formulário já preenchido pelo perfil, com o botão habilitado. Com p_items = [], o RPC calcula subtotal 0 mas ainda soma a taxa de entrega, e o front manda total 0: o cliente leva um erro de divergência sem sentido. Se a taxa de entrega for 0, um pedido fantasma de R$ 0,00 é criado e aparece no painel do admin. O RPC aceita p_items vazio vindo de qualquer chamador anon.","Dar F5 na rota de checkout com o carrinho vazio mostra estado vazio ou redireciona, e o botão de finalizar fica desabilitado. · handleSubmitEvent retorna cedo se o carrinho estiver vazio. · Nova migration faz create_marketplace_order_v23 levantar exceção quando jsonb_array_length(p_items) = 0. · Chamar a RPC direto no endpoint REST com p_items = [] não cria linha em marketplace_orders (verificado em transação com ROLLBACK). · Nenhum pedido de R$ 0,00 é criável pelo caminho normal.",src/views/customer/CheckoutView.tsx · supabase/migrations/ (arquivo novo) · supabase/migrations/20260729000002_shipping_quote_validation_v23.sql · scripts/db-test-guest-checkout.cjs,nada,"não — fora das 7 tarefas de entrada escolhidas; ver ""Por onde o Netim começa"" no topo"
CHECKOUT-030,Criar chave de idempotência do pedido e lock síncrono no botão de finalizar,bug,P1,G,Confiabilidade do checkout,CHECKOUT,alto — acrescenta coluna e índice único em marketplace_orders e um short-circuit na RPC do checkout. Errar o índice bloqueia pedidos legítimos do mesmo cliente.,"A única proteção contra envio duplicado é o atributo disabled do botão, e ele só é ativado depois de um await — ou seja, fora do tick síncrono do clique. Pior: se a RPC comita o pedido mas a resposta HTTP estoura por timeout, o front cai no catch, mantém o carrinho e reabilita o botão. O cliente toca de novo e cria um segundo pedido idêntico, com estoque debitado duas vezes e cupom de uso único consumido duas vezes.","Existe um lock síncrono (ref) verificado no primeiro tick do clique, antes de qualquer await. · Nova migration adiciona idempotency_key em marketplace_orders com índice único parcial. · O front gera a chave uma vez por tentativa de checkout e a reenvia idêntica no retry. · A RPC faz short-circuit: chamada repetida com a mesma chave devolve o pedido já criado em vez de criar outro. · Simular timeout na resposta e tocar de novo em finalizar resulta em UM pedido, com estoque debitado uma vez e cupom consumido uma vez. · Dois pedidos legítimos seguidos do mesmo cliente continuam sendo criados normalmente.",src/views/customer/CheckoutView.tsx · src/hooks/useOrders.ts · supabase/migrations/ (arquivo novo) · supabase/migrations/20260729000002_shipping_quote_validation_v23.sql,nada,"não — mexe na RPC do checkout e adiciona restrição de unicidade numa tabela de produção; o modo de falha (bloquear pedido legítimo) é pior que o bug original."
CHECKOUT-040,Registrar status de pagamento do pedido (pendente/pago/estornado) no admin,feature,P1,M,Receber pagamento no site,CHECKOUT,"médio — exige migration nova em marketplace_orders, e o ledger de migrations já está fora de sincronia (nunca rodar supabase db push aqui). A coluna em si é aditiva e não quebra leitura existente.","Hoje não existe nenhum registro de se o pedido foi pago. A tabela marketplace_orders tem status de fulfillment (pending/processing/shipping/delivered/cancelled) e nada sobre dinheiro. O lojista não tem como conciliar o que recebeu, e o estoque é baixado na criação do pedido, independentemente de pagamento. Esta task vale com ou sem gateway: se um gateway entrar depois, ele passa a escrever nessa mesma coluna.","Existe coluna de status de pagamento em marketplace_orders com default 'pendente' · O admin consegue marcar um pedido como pago e como estornado, e a mudança persiste após recarregar · A lista de pedidos do admin permite filtrar por pagos e não pagos · A migration está escrita como arquivo em supabase/migrations/ com rollback ao lado e foi aplicada pelo caminho combinado (não por supabase db push)",supabase/migrations/ · src/views/admin/AdminOrdersView.tsx · src/components/admin/orders/OrderDetail.tsx · src/lib/mappers.ts · src/types/index.ts,nada,"não — a primeira migration de alguém neste repo não deveria ser numa tabela do caminho do checkout, com o ledger fora de sincronia"
FRETE-010,"Qual provedor de frete está realmente ativo em produção: flat_fee, Melhor Envio ou Frenet?",decisao,P1,P,Decisões pendentes,FRETE,"baixo — é leitura de configuração e resposta. Sem ela, todo trabalho de frete é feito no escuro.","A edge function de frete sabe cotar por Melhor Envio e por Frenet, e também tem taxa fixa e entrega local. Ninguém verificou se existe credencial ativa de transportadora. Isso muda completamente o peso de várias tasks: se a loja opera em taxa fixa, o rastreio da transportadora e as cotações por API são código dormente; se opera com transportadora, a metade que falta do rastreio é urgente.","Está escrito qual provedor está configurado hoje e se a credencial está válida · Está escrito o que a loja pretende usar nos próximos meses · Uma cotação real foi feita em produção e o resultado (provedor que respondeu, preço, se caiu em fallback) está registrado · Se a loja opera em taxa fixa, as tasks de rastreio de transportadora são rebaixadas explicitamente",supabase/functions/calculate-shipping/index.ts · src/views/admin/AdminShippingView.tsx,nada,não — exige acesso às credenciais e à intenção comercial do dono
